,epoch,training_loss,training_entropy,validation_loss,validation_entropy,best_loss
0,0,7220.46209010074,0.040984071041212274,7220.46209010074,0.040984071041212274,*
1,1,24.067102536559105,0.08623411654843949,24.35477302388141,0.08502994178255138,*
2,2,6.108337467070669,0.08614680895698257,13.725024955366788,0.08612763707182909,*
3,3,6.497134669683874,0.08269966876832768,9.13653453855138,0.08159289907075856,*
4,4,4.973774391692132,0.07860134998918511,6.789726371043606,0.0789177625636129,*
5,5,2.121091954410076,0.08180043954052962,6.120255207701733,0.07741515251170648,*
6,6,2.945946274092421,0.07674010311893653,3.9674206783896997,0.07696445770561695,*
7,7,1.5661689674016088,0.07683960518625099,3.170957786589861,0.07493340317895146,*
8,8,1.2296121357940137,0.06951037104590796,3.1957347030310252,0.07263383751882142,
9,9,1.8599687842652202,0.06541047342761885,2.389372957419408,0.0701360161685826,*
10,10,2.1870135482167825,0.06116095693141688,2.243937770708611,0.06639985310796061,*
11,11,1.5437198341824114,0.06285680586006492,2.359298589943271,0.065104102892311,
12,12,0.5389117609593086,0.06061847443925217,1.7284935008930533,0.06481924997152466,*
13,13,0.611889770720154,0.060257380551774986,1.517254856268042,0.06340602943428646,*
14,14,1.588241768302396,0.06032298388890922,1.6348596189367144,0.06292979983906997,
15,15,1.150443654274568,0.06258277050801553,1.4204005817637633,0.06104364040013599,*
16,16,1.1566497816238552,0.06170967502112035,1.2051730559256515,0.061161152979260995,*
17,17,0.5594951421371661,0.0608159392431844,1.5056240315892195,0.060332881705835464,
18,18,0.7092328608268872,0.05966644665750209,1.4248751820114098,0.06005797834919863,
19,19,0.6802035351865925,0.060193235156475566,1.1071458398707603,0.06134717822270958,*
20,20,0.46490921621443704,0.06034116279624868,1.0314133666259677,0.06042114473928354,*
21,21,1.2560856326017529,0.060625468962825835,1.0133551672885293,0.06054552364114084,*
22,22,0.558263277693186,0.06059815504704602,1.3147958348064046,0.0598401223456389,
23,23,0.3658276359201409,0.05955134829855524,0.8897775357589126,0.059776987748122526,*
24,24,0.37635588756529614,0.059774645924335346,0.8971779814284099,0.05917507477937953,
25,25,0.49512401572428644,0.06037813302827999,1.0142255301538268,0.05967166263757175,
26,26,0.6107030627317727,0.05947550442942884,0.7716533511092788,0.059699355494721155,*
27,27,0.6593974286224693,0.06038583844201639,0.8108157157505813,0.05958045555866862,
28,28,0.6640863657230511,0.05934214097214863,1.0824554720011197,0.05978995345679945,
29,29,0.6037988769239746,0.05891311675077304,0.9095008130332357,0.059385233519500806,
30,30,0.51171144208638,0.057658027348225005,0.7102537190345557,0.05975014417628317,*
31,31,0.2832601495902054,0.058076089509995654,0.6403774022663894,0.05966486704878901,*
32,32,0.5062016724841669,0.059648613911122084,0.7669976561673377,0.05951243443659654,
33,33,0.3588075168081559,0.058825480824452825,0.699935308098793,0.059845091052059284,
34,34,0.3692073935526423,0.06024829077068716,0.598278043575977,0.0597324026797555,*
35,35,0.31526085117366165,0.06037430837750435,0.5860823042298619,0.05952980414915242,*
36,36,0.2761894824798219,0.06057417343254201,0.5497285524677289,0.059566322152845956,*
37,37,0.47545589692890644,0.05982280372700188,0.550420398676866,0.05974225977092589,
38,38,0.3936475702212192,0.05992786223941948,0.6514348493987008,0.05951314486906325,
39,39,0.6001758094353136,0.060634144305367954,0.684367401172456,0.05994192484129024,
40,40,0.2805584853631444,0.06058969044534024,0.5884664582284658,0.059904779253625556,
41,41,0.20927101698180195,0.059249662153888494,1.1192923201934288,0.060361776871018506,
42,42,0.21748126158490777,0.059108617846504785,0.471470466574752,0.05962680502500581,*
43,43,0.2373324095387943,0.05996194831095636,0.5384928077704421,0.06052837505887606,
44,44,0.3372718500904739,0.05996926651278045,0.5076697079317742,0.06034039942743747,
45,45,0.615883155958727,0.05904334479419049,0.49890668787258236,0.06001393439395255,
46,46,0.39430209912825376,0.0576833182858536,0.8912637430782381,0.060090688949352815,
47,47,0.4188614457962103,0.059536881861276925,0.5058785776950812,0.06026491683442146,
48,48,0.22287655269610696,0.05916767356393393,0.4576229128986597,0.059675735455790635,*
49,49,0.1845626364229247,0.059844953881110996,0.4239285154856349,0.05977926040680981,*
50,50,0.29982454259879887,0.05693436985166045,0.5091344872783673,0.05972443171776831,
51,51,0.7308415867155418,0.059456105838762596,1.9982918180525302,0.05932301573920995,
52,52,0.14936771932116244,0.05694149572082097,0.41097351453316056,0.05950690983966189,*
53,53,0.22990674764150754,0.05924333033908624,0.628064323001002,0.059819611174201495,
54,54,0.4420037567615509,0.059791278530610725,0.45029632508950795,0.0598101208133525,
55,55,0.17226511907938402,0.05929846514482051,0.39536897954285927,0.05944187993208241,*
56,56,0.23535640386398882,0.05965152148564812,0.4364172101510983,0.05936711932728557,
57,57,0.18898747413186356,0.05908558149531018,0.38246000532649066,0.05943895034663575,*
58,58,0.22607167999376543,0.05879403963626828,0.3790643192582617,0.05928588236167439,*
59,59,0.31791829847497866,0.058406232099514455,0.703029235687695,0.05907094350917951,
60,60,0.38365256966790184,0.058125966796069406,0.688664052851106,0.05896885574819814,
61,61,0.13416303113626782,0.059335787169402465,0.3841260065373622,0.05976203059851143,
62,62,0.2204394505242817,0.05859940991649637,0.34670999391788715,0.05919871071206504,*
63,63,0.27398351274314336,0.0594918520655483,0.5456163001982005,0.06077534537762404,
64,64,0.2956745861447416,0.05847979159443639,0.377077155187726,0.05949770770231752,
65,65,0.24809211454703473,0.058763861714396626,0.3880306519077797,0.05903551913430228,
66,66,0.25115529584581964,0.058568873660988174,0.34359472800340307,0.059394899368482204,*
67,67,0.5077405169722624,0.05936915866914205,0.36140616225862976,0.05902006691689358,
68,68,0.20196042802126613,0.05762581971066538,0.34040301084812535,0.0587879448847257,*
69,69,0.16956120103714056,0.0586504338280065,0.33967173421069197,0.05880035289661273,*
70,70,0.20798685247427784,0.05857555854890961,0.33807272309143294,0.05904065604983388,*
71,71,0.13548057799926028,0.05804067338613095,0.30929838964519535,0.05874561828463093,*
72,72,0.2106950819143094,0.05859666326432489,0.3320383809359842,0.05836929480765799,
73,73,0.17776184632384684,0.055491118735517375,0.31924900400305267,0.059008857188746336,
74,74,0.20163434272399172,0.05523165373597294,0.3162873610609064,0.058598118347704016,
75,75,0.1722483201592695,0.05752431588189211,0.3508668445982039,0.05870606031783513,
76,76,0.4999024420103524,0.05812470293312799,2.6540455817392,0.057920113547803145,
77,77,0.2334353298356291,0.05567974629229866,1.4002804709892525,0.058118857537690354,
78,78,0.21107408360694535,0.057753145549213514,0.3130448149125043,0.05833801802517356,
79,79,0.20564712543273345,0.057204693504900206,0.2997538712463881,0.05856501821207961,*
80,80,0.447679431992583,0.057854643106111325,0.45816190692743186,0.05751401374459659,
81,81,0.14355112513294443,0.05818699886731338,0.3127812475260151,0.05907696988065972,
82,82,0.10815482982434332,0.058927316233166493,0.28813668072811865,0.057835840193652795,*
83,83,0.13380306644830853,0.05713882716372609,0.3783730847712018,0.05764854826817387,
84,84,0.1514397973951418,0.05891800711106043,0.5052056637837699,0.05752916995215377,
85,85,0.1610794001899194,0.05690419614984421,0.2798100665897915,0.057699043521853656,*
86,86,0.32582540178555064,0.05776070773572428,2.254927401950485,0.057812745935332616,
87,87,0.3094607790990267,0.056995121092768386,0.3212234500060348,0.057951109617409347,
88,88,0.44981954083777964,0.05930621204606723,0.36385566820635606,0.05830229476314822,
89,89,0.059202047043072525,0.05418298520089593,0.27357923223293923,0.05757583702032111,*
90,90,0.14502021548105404,0.05653556116158143,0.26626265746982475,0.05762736512544124,*
91,91,0.2568191327736713,0.05660092656034976,0.2772056483810669,0.05753850803318385,
92,92,0.13505472091492265,0.05655589971865993,0.263216248336003,0.0569808032804806,*
93,93,0.09314873910625465,0.05861973618448246,0.3578335525909145,0.059581506637072096,
94,94,0.06950213214440737,0.05535865077399649,0.24822357869952133,0.0577388292350071,*
95,95,0.20650947993271984,0.05679803305247333,0.2897693896617152,0.05710719668576004,
96,96,0.23181940292124636,0.055336072226054966,0.2864460099635548,0.05742750563168604,
97,97,0.39534408861072734,0.05499046851764433,0.344178611402841,0.056424028601644464,
98,98,0.08259497584367637,0.05793758301297203,0.2658163928377785,0.05936068904978272,
99,99,0.22293235425604507,0.05547201889567077,1.636638240947535,0.055614088400953304,
100,100,0.29423659984604456,0.05627995640679728,0.29115564032506785,0.057254718451172505,
