,epoch,training_loss,training_entropy,validation_loss,validation_entropy,best_loss
0,0,6880.823996935393,0.04443796475564963,6880.823996935393,0.04443796475564963,*
1,1,15.33316127769649,0.09894024566165172,24.079373994940205,0.09990023563763029,*
2,2,3.902917966712266,0.09627231085323729,13.344982693383567,0.09648327086807082,*
3,3,7.3377531841397285,0.0906526643957477,9.660949449162734,0.09233647260912939,*
4,4,6.588834912050515,0.09093583803041838,8.550285155992759,0.09008058330632354,*
5,5,3.818038907367736,0.0890964136342518,7.64648066994391,0.08848669258877635,*
6,6,7.233258479740471,0.08770943782292306,6.99982764713074,0.08721149647608399,*
7,7,5.6364250630140305,0.08553718839539215,6.018261616010415,0.0851052767205003,*
8,8,4.656978326849639,0.08366354642203078,4.989157553468096,0.08377388221162714,*
9,9,1.6826625738758594,0.08133818421629258,4.183978832983657,0.08018059854542739,*
10,10,2.8471220342908055,0.07527722904342227,3.5660526461507143,0.07906880967907215,*
11,11,1.452358532231301,0.07729509385535493,3.132535176116385,0.07684165106498098,*
12,12,0.9409616630291566,0.07354333705734462,2.8878438488433233,0.07475187777002391,*
13,13,0.7723104457836598,0.07105846103513613,2.6859645475878526,0.07243445086734075,*
14,14,2.105625994503498,0.06816160437301733,2.53180063061024,0.0707222028978561,*
15,15,0.6871905559673905,0.07424827603972517,2.3075667600490544,0.07015959461905846,*
16,16,1.3218657524557784,0.07193376679788344,2.291519956957353,0.06809973546401843,*
17,17,0.7936632510973141,0.06934463258949108,1.944264381672991,0.06759675553950824,*
18,18,1.2835064390674233,0.0655473966471618,1.9616672973295575,0.06635813744199512,
19,19,1.1656506805447862,0.06442729551054072,1.6682094209680431,0.06600606332925198,*
20,20,0.5973611974623054,0.0624964527960401,1.5309049320064092,0.06379317121188108,*
21,21,1.7646397254429758,0.06306230934569612,1.4611700557662468,0.06347572426556757,*
22,22,0.5529037821688689,0.06158406363101676,1.3882283033312937,0.062456646311636034,*
23,23,0.8330014670500532,0.06274312773894053,1.333530439318795,0.062495397896456875,*
