,epoch,training_loss,training_entropy,validation_loss,validation_entropy,best_loss
0,0,7831.67125051398,0.0,7831.67125051398,0.0,*
1,1,39.46968615055084,0.08845524155185558,81.2976452300423,0.08656454033120291,*
2,2,6.87009702436626,0.06953520582464989,30.229939512516324,0.06339986794628202,*
3,3,8.66746808681637,0.06107793137198314,22.15763628671044,0.06203063286742882,*
4,4,8.953954711556435,0.05958529215422459,17.573357382887288,0.061391070676281266,*
5,5,4.64232518337667,0.05950556379684713,15.297849506139755,0.06125487230326,*
6,6,7.3963523814454675,0.060785988564020954,13.974529067387707,0.061850476946289604,*
7,7,3.833720527589321,0.061223829339724034,12.74244309208895,0.06191503363661468,*
8,8,4.024786845548078,0.060579320532269776,12.143503333236042,0.06217252328305652,*
9,9,5.205244181677699,0.061089098308002576,11.57954027142964,0.062031723772126596,*
10,10,2.937330544460565,0.06124711698794272,10.824421695659035,0.0617721352922289,*
11,11,4.473650653846562,0.06060032623645384,10.010137117144309,0.061215099868805786,*
12,12,2.4564718790352345,0.06099825000273995,8.971862446006975,0.060905823344364764,*
13,13,1.3740796332713217,0.0599755266594002,8.30136012113408,0.060078072435173546,*
14,14,2.778148034121841,0.05957766507344786,7.776738366955205,0.05958575460520622,*
15,15,3.761390541680157,0.058832477414398454,7.219620904797002,0.05963517957317986,*
16,16,1.8257861534366384,0.059667028865078464,6.593017890421968,0.05900470117156051,*
17,17,1.6269698473624885,0.06077113204810303,6.117141067119021,0.058960562236116905,*
18,18,2.0209557911148295,0.05773454731388483,5.883334533478084,0.058767815745484675,*
19,19,2.7067249291576445,0.05854429090686608,5.385883334592769,0.05912871190934981,*
20,20,0.7778987559722736,0.05983263535017613,5.1095234465442205,0.0588561348470026,*
21,21,2.9695119657553732,0.05627783789532259,4.887364342573442,0.05921209919217386,*
22,22,1.0629904962843284,0.05870827344188001,5.674565274307603,0.058036910793989115,
23,23,2.2120770285837352,0.05842367578588892,4.520934195973371,0.05834666067293208,*
24,24,1.5785501524806023,0.05476799272582866,4.37717275172472,0.05733793383758319,*
25,25,1.5494323358871043,0.059574656406766735,4.32732770239052,0.05745372140878125,*
26,26,1.123748181387782,0.05841083524865098,4.057633566503462,0.05722743910247166,*
27,27,2.337713452987373,0.05959771388734225,3.960880056651015,0.056579864226085574,*
28,28,1.0375812648562714,0.057891982462024316,3.8093189737514446,0.05688618241662258,*
29,29,0.954597131232731,0.05613517104939092,4.013312549889088,0.05665964574651106,
30,30,0.8092900242190808,0.0585732244362589,3.4520729257480096,0.05633955542488318,*
31,31,0.49670658097602427,0.056365877579082735,3.2716881726525333,0.056443633800862654,*
32,32,1.8966011682059616,0.05607519226032309,3.140971322318441,0.056237573296713986,*
33,33,0.5754113153670914,0.05211222087382339,3.0660592305817103,0.055913939951968035,*
34,34,0.7477298201993108,0.05678019515471533,2.9155439848178313,0.0555437804640908,*
35,35,1.779615763342008,0.05048743760562502,2.8252550899590316,0.05609137900418749,*
36,36,0.6113670364720747,0.05750054075906519,2.70317743120617,0.056116673122405224,*
